	left_context	named_entities	right_context
646	Там был открывший электрон Джозеф	Джон Томпсон а также Альфред Норт Уайтхед и Бертран Рассел соавторы Принципов математики ставших настоящей библией для специалистов в области логики. Со временем к ним присоединились Эрнест Резерфорд Ральф Фаулер Поль Дирак все сливки физического общества XX века. Эддингтон хорошо вписался в коллектив. Проведя несколько лет в Гринвичской обсерватории в Лондоне он вернулся в Кембридж. В тридцать один год он уже был назначен на престижную должность профессора астрономии и экспериментальной философии Plumian Professor of Astronomy and Experimental Philosophy в Кембридже. Также он получил должность директора расположенной на окраине Кембриджской обсерватории. Рядом с ней он и поселился вместе с матерью и сестрой чтобы стать со временем ведущим специалистом по астрономии в Великобритании. Он проживет там до конца своих дней принимая участие в жизни колледжа с ее официальными ужинами и степенными дискуссиями регулярно посещая Королевское астрономическое общество для демонстрации достигнутых результатов а для проведения измерений и наблюдений за небом периодически путешествуя в отдаленные уголки мира. Именно в одной из таких поездок Эддингтон узнал о новых взглядах Эйнштейна на природу силы тяжести. Предложенная концепция изгибающихся лучей уже привлекла внимание ряда астрономов которые попытались провести измерения. Экспедиции отправились в разные страны в Америку Россию и Бразилию чтобы захватить нужный момент солнечного затмения и зафиксировать небольшое отклонение света далеких звезд. В Бразилии в процессе наблюдения за затмением Эддингтон встретил одного из таких астрономов американца Чарльза Перрайна и был крайне заинтригован его действиями. Поэтому после возвращения в Кембридж он решил познакомиться с идеями Эйнштейна . После начала Первой мировой войны Эйнштейн был одним из немногих кто выступал против волны фанатичного национализма захватившей не только страну но и его коллег. Ситуация приводила его в отчаяние. В издании The Observatory которое было рупором британских астрономов появился ряд недоброжелательных статей призывающих к прекращению сотрудничества с немецкими учеными. Как кратко сформулировал профессор Оксфордского университета Герберт Тернер Можно снова принять Германию в международное сообщество ослабив нормы международного права или исключить ее ужесточив эти нормы. Третьего варианта не существует . Ненависть ко всему немецкому была столь сильной что предложение подать в отставку получил имеющий немецкие корни президент Королевского астрономического общества. На время войны были заморожены все контакты британских ученых с немецкими коллегами. Эддингтон думал и вел себя по-другому. Будучи религиозным человеком он горячо протестовал против войны. Вокруг активно насаждалось неприязненное отношение к немецкой интеллигенции но он имел особое мнение. Подумайте не о символической Германии а о вашем бывшем друге например профессоре X обращался он к коллегам назовите его дикарем грабителем убийцей детей и попробуйте ощутить ярость. У вас ничего не получится из этой нелепой затеи . Эддингтон не только высказывался в пользу немцев он отказывался отправляться на фронт и вступать в бой. После того как некоторые его коллеги были отправлены на фронт и пали смертью храбрых он стал агитировать против войны. Его национальная важность для нации он был важнее в качестве астронома чем в качестве пехотинца позволила ему приобрести нескольких друзей. В Берлине в окружении военной истерии Эйнштейн в одиночку работал над окончательной версией своей теории. Все выглядело корректно но для правильного оформления требовались дополнительные математические выкладки. И он отправляется в Геттингенский университет впоследствии ставший математической Меккой для встречи с Давидом Гильбертом . Гильберт был колоссом правившим миром математиков. Он преобразовал существующий подход пытаясь сложить устойчивое формальное основание на котором можно было бы строить все остальное. В математике не было места несогласованности. Все следовало выводить из базового набора принципов в соответствии с общепринятыми формальными правилами. Математически точные вещи считались истинными только при условии доказательства в соответствии с этими правилами. Позднее этот подход стали называть программой Гильберта . Гильберт собрал вокруг себя наиболее значимых математиков мира. Один из его коллег Герман Минковский показал Эйнштейну как при помощи знаний которые Эйнштейн еще несколько лет назад пренебрежительно называл избыточным умственным багажом записать специальную теорию относительности более элегантным математическим языком. Ученики и ассистенты Гильберта такие как Герман Вейль Джон фон Нейман 	и Эрнст Цермело стали ведущими математиками
647	Вейль Джон фон Нейман и	Эрнст Цермело 	стали ведущими математиками XX века. У
648	нечестной игре не шла. Письмо	Гильберту 	Эйнштейн начал с фразы у нас
649	От своего друга голландского астронома	Виллема де Ситтера 	Эддингтон получал оттиски статей из Праги
650	врагом. По крайней мере коллеги	Эддингтона 	пытались склонить его к этому мнению.
651	на то что королевский астроном	Фрэнк Дайсон 	поддерживал назначение Эддингтона главой экспедиции за
652	в конце концов оказывается в	Кембридже 	где получает звание самого успевающего студента
653	слушания враждебность по отношению к	Эддингтону 	нарастала. В освобождении было бы отказано
654	отказано если бы не вмешательство	Фрэнка 	Дайсона . Он объявил что Эддингтон
655	если бы не вмешательство Фрэнка	Дайсона 	. Он объявил что Эддингтон является
656	аккуратно измерить положение звезд в	Гиадах 	ясной ночью когда ничто не мешает
657	дальние путешествия. Эддингтон вместе с	Эдвардом Коттингемом 	из Гринвичской обсерватории начали работу на
658	Резервная команда из двух астрономов	Эндрю Кроммелина 	и Чарльза Девидсона отправилась в деревушку
659	одного из таких астрономов американца	Чарльза Перрайна и был крайне заинтригован его действиями. Поэтому после возвращения в Кембридж он решил познакомиться с идеями Эйнштейна . После начала Первой мировой войны Эйнштейн был одним из немногих кто выступал против волны фанатичного национализма захватившей не только страну но и его коллег. Ситуация приводила его в отчаяние. В издании The Observatory которое было рупором британских астрономов появился ряд недоброжелательных статей призывающих к прекращению сотрудничества с немецкими учеными. Как кратко сформулировал профессор Оксфордского университета Герберт Тернер Можно снова принять Германию в международное сообщество ослабив нормы международного права или исключить ее ужесточив эти нормы. Третьего варианта не существует . Ненависть ко всему немецкому была столь сильной что предложение подать в отставку получил имеющий немецкие корни президент Королевского астрономического общества. На время войны были заморожены все контакты британских ученых с немецкими коллегами. Эддингтон думал и вел себя по-другому. Будучи религиозным человеком он горячо протестовал против войны. Вокруг активно насаждалось неприязненное отношение к немецкой интеллигенции но он имел особое мнение. Подумайте не о символической Германии а о вашем бывшем друге например профессоре X обращался он к коллегам назовите его дикарем грабителем убийцей детей и попробуйте ощутить ярость. У вас ничего не получится из этой нелепой затеи . Эддингтон не только высказывался в пользу немцев он отказывался отправляться на фронт и вступать в бой. После того как некоторые его коллеги были отправлены на фронт и пали смертью храбрых он стал агитировать против войны. Его национальная важность для нации он был важнее в качестве астронома чем в качестве пехотинца позволила ему приобрести нескольких друзей. В Берлине в окружении военной истерии Эйнштейн в одиночку работал над окончательной версией своей теории. Все выглядело корректно но для правильного оформления требовались дополнительные математические выкладки. И он отправляется в Геттингенский университет впоследствии ставший математической Меккой для встречи с Давидом Гильбертом . Гильберт был колоссом правившим миром математиков. Он преобразовал существующий подход пытаясь сложить устойчивое формальное основание на котором можно было бы строить все остальное. В математике не было места несогласованности. Все следовало выводить из базового набора принципов в соответствии с общепринятыми формальными правилами. Математически точные вещи считались истинными только при условии доказательства в соответствии с этими правилами. Позднее этот подход стали называть программой Гильберта . Гильберт собрал вокруг себя наиболее значимых математиков мира. Один из его коллег Герман Минковский показал Эйнштейну как при помощи знаний которые Эйнштейн еще несколько лет назад пренебрежительно называл избыточным умственным багажом записать специальную теорию относительности более элегантным математическим языком. Ученики и ассистенты Гильберта такие как Герман Вейль Джон фон Нейман и Эрнст Цермело стали ведущими математиками XX века. У Гильберта и его группы в Геттингене были большие планы они хотели провести аксиоматизацию физики как это было сделано с математикой. Работу Эйнштейна Гильберт считал неотъемлемой частью своего проекта. Во время короткого визита в Геттинген в июне 1915 года Эйнштейн читал лекции а Гильберт делал заметки. Они бесконечно дискутировали по поводу отдельных деталей. Физика была сильной стороной Эйнштейна математика сильной стороной Гильберта. Но вперед они не продвинулись ни на йоту. Попрежнему с подозрением относящийся к математике и не очень разбирающийся в римановой геометрии Эйнштейн не смог до конца понять излагаемые Гильбертом технические детали. После завершения этого казавшегося бесплодным визита Эйнштейн начал сомневаться в своей новой теории относительности. Он уже был осведомлен что универсальной она не является когда в 1913 году они с Гроссманом завершили работу над статьями стало ясно что закон всемирного тяготения в выдвинутую концепцию не вписывается. Ошибочными оказались и некоторые прогнозы. К примеру теория предсказывала отклонение орбиты Меркурия в соответствии со сделанными почти пятьдесят лет назад наблюдениями Леверье но практика показала что Эйнштейн ошибся в два раза. Ему пришлось снова пересматривать свое уравнение. Через три недели Эйнштейн решил отказаться от нового закона всемирного тяготения который они разработали вместе с Гроссманом и который не подчинялся общему принципу относительности. Ему был нужен другой закон всемирного тяготения который подобно остальным физическим законам был бы справедливым во всех системах отсчета. Кроме того он хотел воспользоваться новой римановой геометрией которой его научил Гроссман . Каждые несколько дней он вносил поправки в уже сделанную работу по формулировке закона убирая часть допущений и одновременно вводя другие. Постепенно он избавлялся от некоторых мешавших ему продвигаться вперед физических предрассудков все глубже и глубже погружаясь в новую для него математику. Он понял что с верно служившей на протяжении его головокружительной карьеры физической интуицией следует быть осторожным не давая ей заслонять более общую картину вырисовывающуюся при помощи математики. К концу ноября наконец стало ясно что работа закончена. Эйнштейн сформулировал общий закон всемирного тяготения согласующийся с общей теорией относительности. В пределах Солнечной системы этот закон хорошо описывался классической теорией тяготения Ньютона как это собственно и должно было быть. Более того он точно предсказывал установленную Леверье прецессию перигелия Меркурия. В соответствии с этой теорией искривление лучей света проходящих рядом с тяжелым объектом должно быть еще больше в два раза больше величины предсказанной при первом обдумывании теории в Праге. Готовая общая теория относительности Эйнштейна предлагала совершенно новый подход к пониманию физики заменивший господствовавший в течение веков подход Ньютона. Теория предлагала набор уравнений которые впоследствии стали называть уравнениями Эйнштейна . Хотя лежащая в их основе идея связывающая уравнения Гаусса и Римана с силой тяжести была красивой или как выразились бы физики элегантной подробные уравнения производили впечатление полного хаоса. Фактически это был набор из десяти уравнений для десяти функций геометрии пространства и времени нелинейных и переплетенных между собой таким образом что решить отдельное уравнение было попросту невозможно решались они только вместе. При лобовом подходе такая перспектива пугала. Тем не менее эта система уравнений обещала очень много так как ее решение позволяло предсказывать протекание происходящих в окружающем мире процессов от полета пули и падающего с дерева яблока до движения планет в Солнечной системе. Казалось что решение уравнений Эйнштейна дало ключ к секретам Вселенной. 25 ноября 1915 года Эйнштейн представил свои уравнения Прусской академии наук в виде небольшой трехстраничной работы. Его версия закона всемирного тяготения радикально отличалась от всех предлагавшихся ранее. По сути Эйнштейн утверждал что явление которое мы называем силой тяжести не что иное как движение объектов в геометрии пространства-времени. Массивные объекты влияют на эту геометрию искривляя пространство и время. Эйнштейн наконец получил действительно общую теорию относительности. Но по этой дороге он шел не в одиночку. Обдумывая геттингенские лекции Эйнштейна Гильберт предпринял собственную попытку описания гравитационных взаимодействий. И независимо от Эйнштейна пришел к тем же самым гравитационным законам. 20 ноября за пять дней до выступления Эйнштейна в Берлинской академии он представил свои результаты в Королевском научном обществе в Геттингене. В итоге создалось впечатление что Гильберт опередил Эйнштейна . Несколько недель после доклада отношения Гильберта и Эйнштейна были крайне напряженными. В письмах к Эйнштейну Гильберт утверждал что не помнит ничего из лекций в которых Эйнштейн рассказывал про свои попытки построения уравнений гравитации и к Рождеству Эйнштейн согласился с тем что в данном случае речь о нечестной игре не шла. Письмо Гильберту Эйнштейн начал с фразы у нас произошла размолвка но он смирился с происшедшим настолько что написал Я вновь думаю о вас с ничем не замутненным дружеским чувством Они и в самом деле остались друзьями и коллегами так как Гильберт больше никогда не заявлял о правах на фундаментальный труд Эйнштейна . И до самой своей смерти называл полученные ими обоими уравнения уравнениями Эйнштейна . Работа Эйнштейна шла к завершению. Постепенно поддаваясь силе математики он смог получить окончательные версии уравнений. С этого момента математика стала его проводником наряду с мысленными экспериментами. Эйнштейна потрясла математическая красота готовой теории. Про уравнения он говорил как про наиболее ценное открытие в моей жизни . От своего друга голландского астронома Виллема де Ситтера Эддингтон получал оттиски статей из Праги затем из Цюриха и наконец из Берлина. Его крайне заинтриговал совершенно новый подход к рассмотрению гравитации в рамках сложного математического языка. Он был астрономом и его обязанности сводились к измерениям и наблюдениям с последующими попытками интерпретации результатов тем не менее он был готов приступить к изучению использовавшейся Эйнштейном для описания своей теории римановой геометрии. Игра явно стоила свеч ведь Эйнштейн сделал ряд достаточно четких прогнозов позволяющих проверить его теорию практикой. Идеальной возможностью подобной проверки явилось ожидаемое 29 мая 1919 года солнечное затмение и было очевидно что команду наблюдателей возглавит именно Эддингтон . Существовала однако одна но крайне серьезная проблема. Европу охватил пожар войны Эддингтон был пацифистом а Эйнштейн состоял в сговоре с врагом. По крайней мере коллеги Эддингтона пытались склонить его к этому мнению. В 1918 году военный конфликт достиг своего апогея возрос риск полного поглощения англичан и французов немецкой армией что привело к новой волне мобилизации. Эддингтона призвали на фронт но у него были совсем другие планы. Став горячим сторонником новой теории гравитационных взаимодействий Эддингтон столкнулся с неприязнью коллег. В попытке откреститься от немецкой науки как от не имеющей ценности один из них заявил Мы пытались думать что чрезмерные и неправомерные притязания Германии обусловлены временным помутнением на почве недавнего экономического роста. Но подобные примеры заставляют задуматься не может ли печальная истина иметь более глубокие причины . И несмотря на то что королевский астроном Фрэнк Дайсон поддерживал назначение Эддингтона главой экспедиции за отказ отправляться на фронт его хотели отправить в тюрьму. Для рассмотрения взглядов Эддингтона в Кембридже был созван правительственный трибунал. В процессе слушания враждебность по отношению к Эддингтону нарастала. В освобождении было бы отказано если бы не вмешательство Фрэнка Дайсона . Он объявил что Эддингтон является ключевой для экспедиции фигурой кроме того в сложившихся условиях наблюдать за затмением будет крайне немногочисленная группа. Профессор Эддингтон имеет исключительную квалификацию в подобных наблюдениях и я надеюсь что суд даст ему разрешение взяться за эту задачу . Затмение заинтересовало суд и Эддингтона освободили в связи с государственной необходимостью . Увлечение теорией Эйнштейна спасло его от отправки на фронт. Эта теория предсказывала отклонение света далеких звезд при прохождении рядом с массивным телом например с Солнцем. Эксперимент Эддингтона сводился к наблюдению за звездным скоплением Гиады два раза в год. Сначала предполагалось аккуратно измерить положение звезд в Гиадах ясной ночью когда ничто не мешает наблюдениям и ничто не влияет на лучи света. Затем эксперимент требовалось повторить с Солнцем на переднем плане. Эту операцию следовало проделать во время полного солнечного затмения когда практически весь яркий свет Солнца блокируется Луной. 29 мая 1919 года Гиады находились справа от Солнца что создавало прекрасные условия для измерений. Сравнение результатов двух экспериментов с Солнцем и без него должно было показать возникает ли отклонение. И если бы оно оказалось равным примерно одной четырехтысячной градуса или 1 7 угловой секунды правота теории Эйнштейна была бы доказана. Вот такая простая и понятная задача. Но на самом деле все было далеко не так просто. Те немногочисленные места откуда можно было наблюдать полное затмение находились далеко друг от друга. Для установки оборудования астрономам приходилось отправляться в дальние путешествия. Эддингтон вместе с Эдвардом Коттингемом из Гринвичской обсерватории начали работу на острове Принсипи. Резервная команда из двух астрономов Эндрю Кроммелина и Чарльза Девидсона 	отправилась в деревушку Собраль расположенную в
660	путешествия. Эддингтон вместе с Эдвардом	Коттингемо	м из Гринвичской обсерватории начали работу
661	светлеть. Увидеть Солнце Эддингтону и	Коттингему 	удалось когда затмение уже шло полным
662	было ни облачка. Эддингтон телеграфировал	Фрэнку Дайсону 	Через облака. Надеюсь . Возможно именно
663	Чарльза Девидсона отправилась в деревушку	Собраль 	расположенную в сердце северо-восточного региона Бразилии
664	команда из двух астрономов Эндрю	Кроммелина	и Чарльза Девидсона отправилась в деревушку
665	астрономов Эндрю Кроммелина и Чарльза	Девидсона	отправилась в деревушку Собраль расположенную в
666	к шестнадцати пластинам Эддингтона и	Коттингема 	. В восторге они послали телеграмму
667	конце июля. Из шестнадцати предоставленных	Эддингтоном 	снимков только на двух оказалось достаточное
