	index	left_context	left_word	named_entity	right_context
415	882	это ортодоксальный догматический марксист а	а	Мамардашвили	был свободным мыслителем. И на православное
416	1210	войны Эддингтон был пацифистом а	а	Эйнштейн	состоял в сговоре с врагом. По
417	14	вам Ньютона разрешают изучать а	а	Эйнштейна	уже нет. Что кстати и пытались
418	1750	университете австралийского города Суинбурн а	а	Ричард Эванс	в отделении наук о материалах и
419	1367	головной московский Институт социологии а	а	Фирсов	получил возможность вывести их общих сетевых
420	1571	подход Крепелина как невропатологический а	а	Блейлера	как психологический . Ойген Блейлер заведовал
421	1351	власть в пяти странах авторы	авторы	Михаил Соколов	Катерина Губа Татьяна Зименкова Софья Чуйкина
422	7	этом больше всех писал академик	академик	Андрей Анатольевич Зализняк	. Дело в том что написать
423	974	старые этой мыслью движим академик	академик	Людвиг Фаддеев	в упорных многолетних стараниях твердо поставить
424	969	НИИ физико-химической медицины и академик	академик	Скрябин	. И понемногу эти технологии выходят
425	394	половине XX века станет академик	академик	Геннадий Месяц	. В США будущий нобелиат показал
426	1705	и биогаза. По мнению академика	академика	Алфёрова	солнечные батареи будут экономически эффективными через
427	902	Отцы наших атомных бомб академики	академики	Зельдович	и Харитон выросли вдали от Москвы.
428	1466	швейцарский врач философ и алхимик	алхимик	Парацельс	. В его трудах сохранились записи
429	1158	одного из таких астрономов американца	американца	Чарльза Перрайна	и был крайне заинтригован его действиями.
430	361	соотечественником Виталием Гинзбургом и американцем	американцем	Энтони Леггетом	получил Нобелевскую премию по физике за
431	1273	же выводу независимо пришли американцы	американцы	Геральд Гуральник	Карл Хаген и англичанин Томас Киббл
432	1275	Гуральник Карл Хаген и англичанин	англичанин	Томас Киббл	. Идея спонтанного нарушения симметрии состоит
433	1279	выступала гостья из Америки антрополог	антрополог	Нэнси	Рис которая работала тогда над своей
434	1592	требований double bind предложенной антропологом	антропологом	Грегори Бейтсоном	в 1956 году развитию шизофрении способствуют
435	1898	место для посадки наземного аппарата	аппарата	Exo	Mars rover второго участника проекта Exo
436	1533	в Кембриджском университете 30 апреля	апреля	Виктория Миллер	аспирант на факультете истории предложила новый
437	1003	пионер английской археологии и археоастрономии	археоастрономии	Уильям Стьюкли	. Несмотря на то что за
438	1712	Когда в 2007 году археолог	археолог	Шенгюль Айдынгюль	приступила к раскопкам античного города в
439	548	именем великого и скандального археолога	археолога	Джеймса Меллаарта	. И вот тут-то начинается отдельная
440	365	годов которые проводили выдающиеся археологи	археологи	Артемий Арциховский	и Валентин Седов открыли площадку диаметром
441	318	села Хотылево была открыта археологом	археологом	Федором Заверняевым	в 1963 году. Он исследовал часть
442	1360	них восходят к двум аспирантам	аспирантам	В.П. Тугаринова	учившихся на философском факультете Ленинградского государственного
443	18	объектов можно назвать тогдашнюю аспирантку	аспирантку	Джоселин Белл	и ее руководителя Энтони Хьюиша .
444	457	на Таити раскрылось что ассистент	ассистент	Коммерсона	женщина по другой об этом раньше
445	391	Освальда Веблена вторая за ассистента	ассистента	Ричардсона	физика Клинтона Дэвиссона . В Принстоне
446	1490	Другой член исследовательской группы астробиолог	астробиолог	Майкл Мумма	Michael Mumma объясняет Способность формировать стабильную
447	622	в 1933 году когда астроном	астроном	Фриц Цвикки	исследовал распределение скоростей галактик в скоплении
448	1214	на то что королевский астроном	астроном	Фрэнк Дайсон	поддерживал назначение Эддингтона главой экспедиции за
449	497	затворничества Коммерсона вызволил молодой астроном	астроном	Жером де Лалланд	делавший в Париже головокружительную научную карьеру.
450	1204	От своего друга голландского астронома	астронома	Виллема де Ситтера	Эддингтон получал оттиски статей из Праги
451	1945	в честь знаменитого итальянского астронома.	астронома.	Он	приступит к спуску на Марс в
452	729	в области физики и астрономии	астрономии	Хокинг	давно заслужил признание широкой аудитории а
453	1230	Резервная команда из двух астрономов	астрономов	Эндрю Кроммелина	и Чарльза Девидсона отправилась в деревушку
454	623	В 1958 году советский астрофизик	астрофизик	Виктор Амбарцумян	предложил свое решение парадокса Цвикки. По
455	1513	Фау-2 . Тогда аргументы астрофизика	астрофизика	Лаймана Спитцера	приведенные им в работе Астрономические преимущества
456	1871	Большая часть метана в атмосфере	атмосфере	Земли	образуется благодаря работе микроорганизмов в том
457	1873	что обнаружение метана в атмосфере	атмосфере	Марса	будет веским доводом в пользу наличия
458	1956	данных о пыли в атмосфере	атмосфере	Марса	которые соберет датчик прозрачности атмосферы с
459	1891	Возможные источники метана в атмосфере	атмосфере	Марса	Исчезать же метан может тоже под
460	1906	распада метана в марсианской атмосфере.	атмосфере.	Если	совместно с метаном будут выявлены другие
461	1894	самое распространенное вещество марсианской атмосферы.	атмосферы.	Trace	Gas Orbi er будет оборудован высокоточными
462	398	Бор создал свою теорию атома	атома	Ричардсон	подтвердил ее проведя спектроскопические исследования возбужденных
463	1301	В колониальное время индейцы бассейна	бассейна	Ла	-Платы с успехом отстаивали свои традиции
464	1270	предложен этот механизм принадлежат бельгийцам	бельгийцам	Роберту Брауту	и Франсуа Энглерту и шотландцу Питеру
465	504	после его сошествия на берег	берег	Коммерсон	который с трудом ходил из-за раненной
466	115	самолете напоминает ученый. В беседе	беседе	Михаил Пантелеев	подчеркнул что эта работа даже публикация
467	486	сердце многосердечное растение и бессердечный	бессердечный	Ламарк	В тридцать лет Коммерсон все еще
468	619	уже содержится в коллективном бессознательном.	бессознательном.	Докинз	совершенно справедливо воспринимает культуру как важнейший
469	1389	людей с афазией и билингвов.	билингвов.	Таненхаус	и его коллеги выбрали для своего
470	2002	как не раз отмечал биогеронтолог	биогеронтолог	Обри де Грей	это всего лишь технологическая проблема отнюдь
471	195	Лазаревиче . При чтении биографии	биографии	Виталия Лазаревича	и воспоминаний его современников складывается стойкое
472	1676	из соавторов нашей статьи биоинформатик	биоинформатик	Евгений Кунин	. Классификация CRISPR-систем основана на различиях
473	2027	вознаграждение получил японский молекулярный биолог	биолог	Ёсинори Осуми	. Третьего октября 2016 года он
474	2021	. Под руководством шведского биолога	биолога	Свенте Паабо	ученые прочли мтДНК неандертальца и пришли
475	2034	медицине. Ими стали американские биологи	биологи	Джеффри Холл	Майкл Росбаш и Майкл Янг .
476	970	термина биоэтика - американский биохимик	биохимик	Ван Ренсселер Поттер	V.R. Potter определил биоэтику как соединение
477	1838	строчек. С 1750-х годов благодаря	благодаря	Ломоносову	они выросли до 30 строчек и
478	617	тот же мем о боге	боге	Докинза	только Докинз рассматривает его как единицу
479	957	же Ясперс и еще более	более	Хайдеггер	и Сартр . В целом направление
480	684	больницу. Несмотря на страшную боль	боль	Блэр	требовал подключить его к электрокардиографу чтобы
481	1455	сильно повлиял мой многолетний босс	босс	Юрий Семенович Лазуркин	. Кроме того влияние оказал мой
482	461	вместе с Жанной и ботаником	ботаником	Пьером Воннера	. Вместе они описали множество растений
483	422	сад университета. Созданный французским ботаником	ботаником	Пьером Рише де Белльвалем	он до сих пор не только
484	84	графофон Чичестера Белла двоюродного брата	брата	Александра Грэхема Белла	и Чарльза Тейнтера таких недостатков имели
485	165	награды по биологии достались британцам	британцам	Чарльзу Фостеру	и Томасу Твейтсу которые однажды решили
486	1957	процесс возникновения марсианских пылевых бурь.	бурь.	Макет	модуля Schiaparelli Второй этап проекта Exo
487	330	из его биографий Если бы	бы	Доджсон	не написал Алису его могли бы
488	331	средство фиксирования изображения Если бы	бы	Доджсон	не написал Алису и не был
489	911	Гейдельберга главным врачом там был	был	Ф. Ниссль	специалист по гистологии нервной ткани то
490	1363	отцовскими фигурами в которой были	были	А.Г. Здравомыслов	и Б.М. Фирсов некоторое время также
491	467	Как бы то ни было	было	Коммерсон	помог ей разобраться с законоведами и
492	43	по трилобитам туда же в	в	Кембридж	в музей Седжвика прибыли мальчики из
493	1012	следит за действиями пользователей в	в	Сети	что позволяет ему подбирать для каждого
494	1217	Для рассмотрения взглядов Эддингтона в	в	Кембридже	был созван правительственный трибунал. В процессе
495	1226	аккуратно измерить положение звезд в	в	Гиадах	ясной ночью когда ничто не мешает
496	1746	рано. Другой метод разработан в	в	Саутгемптоне	. В своей основе он оптический
497	1716	голод утолят несколько популярных в	в	России	и не только проектов. Школы самообразования
498	109	Масса скользких шуток которые в	в	России	бы точно не пропустила самоцензура. Из
499	1941	ACS и FREND разработаны в	в	Институте	космических исследований РАН. Когда TGO будет
500	1537	мастер круга Бронзино XVI в.	в.	Миллер	пишет Идеи маскулинности были глубоко взаимосвязаны
501	1496	Мейера группировала элементы по валентностям.	валентностям.	Менделеев	в основу своей таблицы положил распределение
502	1038	Понятие клик-химии было впервые введено	введено	Шарплессом	в 1998 1999 годах хотя тогда
503	1207	Игра явно стоила свеч ведь	ведь	Эйнштейн	сделал ряд достаточно четких прогнозов позволяющих
504	2038	приводить в пример даже вездесущего	вездесущего	Леонардо да Винчи	. Попыток стремлений было много а
505	544	нашел великий археолог XX века	века	Джеймс Меллаарт	James Mellaart . Меллаарт даже якобы
506	1049	предприятий. Примерно через четверть века	века	Дэвид Рикардо	начал формулировать собственные теории экономического богатства.
507	607	изменениям. Французские философы XX века	века	Жорж Батай	Жиль Делёз и Жан Бодрийяр занимались
508	1483	два великих пророка XIX века	века	Маркс	и Фрейд наконец низвергнуты со своих
509	953	великих психиатров начала 20 века	века	Ясперса	Блейлера Бинсвангера . Сыграли в этом
510	735	из величайших ученых XX века.	века.	Фрейд	профессор доктор медицины и почетный доктор
511	1154	сливки физического общества XX века.	века.	Эддингтон	хорошо вписался в коллектив. Проведя несколько
512	1753	разработал еще в XIX веке	веке	Джеймс Максвелл	который объединил электрическое и магнитное взаимодействия
513	16	теоретической лингвистики оказывается неожиданно велика.	велика.	Зализняк	которого я вспоминал он ведь автор
514	347	он уже был учеником великого	великого	Льва Ландау	сдав ему в 19 знаменитый теорминимум
515	691	известного из созданных им веществ	веществ	Хофманн	продолжил принимать ЛСД пропагандировать его использование
516	65	России в их конфликтном взаимодействии	взаимодействии	Вячеслав Глазычев	Глубинная Россия наших дней Михаил Блинкин
517	1213	сторонником новой теории гравитационных взаимодействий	взаимодействий	Эддингтон	столкнулся с неприязнью коллег. В попытке
518	591	В этом контексте показателен взгляд	взгляд	Сьюзан Блэкмор	. Блэкмор одна из крупнейших исследователей
519	1156	Эддингтон узнал о новых взглядах	взглядах	Эйнштейна	на природу силы тяжести. Предложенная концепция
520	1216	в тюрьму. Для рассмотрения взглядов	взглядов	Эддингтона	в Кембридже был созван правительственный трибунал.
521	1671	пока за дело не взялся	взялся	Франс Грейзенхаут	. Он обратил внимание на канавку
522	1177	завершения этого казавшегося бесплодным визита	визита	Эйнштейн	начал сомневаться в своей новой теории
523	287	последние 10 лет жизни вклад	вклад	Куренниеми	в культуру науку развитие музыкального синтеза
524	1077	которую я считаю важнейшим вкладом	вкладом	Джекобс	в исследование темы о центральной роли
525	1219	отказано если бы не вмешательство	вмешательство	Фрэнка	Дайсона . Он объявил что Эддингтон
526	799	в рамках социальной психологии внес	внес	Мередит Белбин	Raymond Meredith Belbin . Он отметил
527	1679	на ее существование обратил внимание	внимание	Франциск Мохика	Francisco Mojica потрясающе умный но совершенно
528	1085	выводам команды ученых которую возглавляет	возглавляет	Джеффри	Вест из Института Санта-Фе большие города
529	1780	мы даем им такую возможность.	возможность.	Сергей Марданов	как раз занимается сообществом молодых предпринимателей
530	445	кстати с самого начала возненавидевший	возненавидевший	Коммерсона	писал в дневниках о подозрениях уже
531	396	дела. Началась Первая мировая война.	война.	Ричардсону	как и всем британским ученым пришлось
532	1160	После начала Первой мировой войны	войны	Эйнштейн	был одним из немногих кто выступал
533	1209	проблема. Европу охватил пожар войны	войны	Эддингтон	был пацифистом а Эйнштейн состоял в
534	1050	загадку которая всю жизнь волновала	волновала	Смита	каким образом страны получают выгоду от
535	1142	счету проигнорировано. Остальной мир воспринимал	воспринимал	Эйнштейна	как еще одного немецкого ученого поддержавшего
536	245	Труды по геометрии настолько впечатлила	впечатлила	Кастелли	что тот отослал копию Галилею и
537	1812	В 1530 году итальянский врач	врач	Джироламо Фракасторо	использовал для этого необычную форму эпической
538	699	октября 1878 года сицилийский врач	врач	Джованни Баттиста Грасси	при вскрытии очередного трупа обнаружил что
539	1814	В 1927 году австрийский врач	врач	Юлиус Вагнер-Яурегг	получил Нобелевскую премию по физиологии и
540	409	ничего не изменилось со времен	времен	Дидро	. Без вариантов. Самый высокий из
541	909	физиологии уже современной не времен	времен	Гризингера	психическая болезнь например шизофрения заключается в
542	33	всех деталях чего со времен	времен	Уолкотта	поднявшего занавес этой пьесы никтоне делал.
543	1595	момент как и во времена	времена	Крепелина	отсутствовало какое-либо ясное представление о нейрофизиологических
544	1302	численности населения. Еще во времена	времена	Альберта Швейцера	как описывает он сам рубка и
545	910	из ярчайших психиатров того времени	времени	К. Ясперс	он же знаменитый философ рассказывает в
546	1634	мастерской лучшего оптика своего времени	времени	Джованни Амичи	который среди прочего изобрел иммерсионную микроскопию
547	1427	провозглашены антинаучными. В свое время	время	Гемпель	четко обозначил разницу между естественными науками
548	1588	. В то же время	время	Крепелин	всегда считал что шизофрения это болезнь
549	1189	геометрию искривляя пространство и время.	время.	Эйнштейн	наконец получил действительно общую теорию относительности.
550	51	отклонить . Только уникумы вроде	вроде	Ричарда Фейнмана	или Стивена Хокинга получают обычно благосклонное
551	1719	это только подтверждает премию вручили	вручили	Ёсинори Осуми	отметив его очень важные но уже
552	1294	Кросби чересчур гладкой. Охотнее всего	всего	Кросби	задерживается на островах Мадейра Азоры Новая
553	708	прекрасное тепло . Скорее всего	всего	Баркрофт	вплотную приблизился к смертельной гипотермии но
554	1880	случае интересен источник такого выброса.	выброса.	Ученые	уже предложили различные гипотезы относительно того
555	1619	на Сатурн. Следовательно делает вывод	вывод	Эллер	в действительности Титан мог образоваться лишь
556	138	примерить на себя шкуру выдры.	выдры.	Фостер	жил на берегах реки и ловил
557	341	но гнева общественности не вызывает.	вызывает.	Геннадий Валявин	Кандидат физико-математических наук старший научный сотрудник
558	1018	для научной среды которую высказал	высказал	Роберт Мертон	около ста лет назад. Мертон выделил
559	1863	где уровень метана наиболее высок.	высок.	Именно	там ученые надеются с наибольшей вероятностью
560	1192	за пять дней до выступления	выступления	Эйнштейна	в Берлинской академии он представил свои
561	1655	Это делается с использованием вычислений	вычислений	Строминджера	который обобщает наблюдения сделанные на пространствах
562	1660	теория относительности неприменима и вычисления	вычисления	Хокинга	неприменимы. Это общепринятое понимание того где
563	989	руководством нобелевского лауреата 1987 г.	г.	Сусуму Тонегавы	и опубликована в одном из ведущих
564	1503	было сделано в 1813 г.	г.	Федором Гаусманом	изучавшим марганцевые минералы. Инки верили что
565	386	раскаленного электрода испаряется электронный газ.	газ.	Ричардсон	сумел эмпирически установить зависимость согласно которой
566	1529	такой необычный элемент мужского гардероба.	гардероба.	Виктория Миллер	из Кембриджского университета решила разобраться с
567	1462	так называемая Московская трибуна где	где	Сахаров	был главной фигурой. Мы собирались регулярно
568	1813	В трех томах латинских гекзаметров	гекзаметров	Фракасторо	описывает симптомы сифилиса признает что болезнь
569	1298	то по мнению американского географа	географа	Уильяма М. Деневана	рай этот был населен людьми и
570	57	наших лекциях территориально-проектный Глазычев географический	географический	Родоман	культурно-исторический Найшуль электоральный Орешкин и др.
571	1002	Кларк-Уолкер Скот Ломакс и геолог	геолог	Тони Уолтхэм	представляет археологические службы Мерсии Йоркшира а
572	1176	очень разбирающийся в римановой геометрии	геометрии	Эйнштейн	не смог до конца понять излагаемые
573	1116	попытку вырваться за пределы геометрии	геометрии	Евклида	. Евклид сформулировал правила для линий
574	1113	выхода за пределы обычной геометрии.	геометрии.	Гроссман	дал ему учебник по неевклидовой или
575	1125	началу 1913-го освоив новую геометрию	геометрию	Эйнштейн	вместе с Гроссманом работал над двумя
576	1373	и множество противников. Критики гипотезы	гипотезы	Брубейкера	указывали в частности на проблемы с
577	1620	А вот в рамках гипотезы	гипотезы	Великого	лавирования сегодняшний облик спутников Юпитера и
578	1508	благодаря немецкому анатому и гистологу	гистологу	Генриху Вильгельму Вальдейеру	. Особую известность Флеммингу принесли его
579	768	Так наверняка и произойдет говорит	говорит	Юрий Минкин	. Сейчас на лошадях умеют ездить
580	1865	гигантский нос в небе говорит	говорит	Хорхе	Ваго участник проекта Exo Mars .
581	1535	быстро начали осуждать ее говорит	говорит	Миллер	. В своей проповеди 1429 года
582	1494	что эта тенденция продолжится говорит	говорит	Хит Хэги	. Итоги исследования опубликованы в журнале
583	1538	мода взяла другое направление говорит	говорит	Миллер	.Но мода сложнее и тоньше чем
584	1543	наполнены сложными культурными посланиями говорит	говорит	Миллер	. Для меня самым интересным в
585	612	от т-мемов о которых говорит	говорит	Сьюзан Блэкмор	Не были ли мемы и симулякры
586	320	несколько десятков против сотен говорит	говорит	Константин Гаврилов	. Найденная в Хотылево Венера сохранилась
587	758	исчезли из-за застойной эволюции говорит	говорит	Максим Архангельский	. Ихтиозавры вымерли по геологическим меркам
588	597	им нужно как-то распространяться говорит	говорит	Блэкмор	в своем выступлении на TED. Возможно
589	314	шарового скопления. Вот что говорит	говорит	Родриго Контрерас	Наше открытие звезд типа RR Лиры
590	301	таких местах как Иеллоустоун говорит	говорит	Ян Хэмлинг	но все-таки довольно значительно . Результаты
591	1489	для жизни на Земле говорит	говорит	Морин Палмер	. Другой член исследовательской группы астробиолог
592	110	они стали признанным феноменом говорит	говорит	Михаил Пантелеев	. Теперь ученые сделали еще один
593	765	век XXI не принес говорит	говорит	Альберт Ефимов	. Например еще 500 лет назад
594	1349	больше 30 000 в год	год	Джеймс Роллинс	это не результаты реальных подсчетов а
595	285	возможностям с мозгом 2047 год.	год.	Эркки Куренниеми	дотошно и долго собирал и архивировал
596	1778	лауреат по химии 2011 года	года	Даниэль Шехтман	получивший премию за открытие квазикристаллов. Он
597	490	молоком. В тридцать три года	года	Коммерсон	все-таки решил жениться. Его избранницей стала
598	1174	Геттинген в июне 1915 года	года	Эйнштейн	читал лекции а Гильберт делал заметки.
599	1306	Кузнецкого бассейна. Через три года	года	Залесский	описал еще один вид отнесенный к
600	1187	Вселенной. 25 ноября 1915 года	года	Эйнштейн	представил свои уравнения Прусской академии наук
601	2067	что 11 ноября 1889 года	года	Берлинер	вероятно демонстрировал процесс записи Розенталю а
602	282	речевым синтезатором. С 1987-го года	года	Куркиниеми	становится начальником отдела планирования в научно-исследовательском
603	1995	В 1902 и 1904 годах	годах	Мюллеру	удавалось привезти сокотрийского информанта в Вену
604	1361	университета еще в 50-х годах	годах	В.А. Ядову	и В.Я.Ельмееву . Ельмеевская сеть базировалась
605	1492	парки. В 2014 2016 годах	годах	Хит Хэги	Heath Hagy из Университета Иллинойса и
606	352	куперовских пар. В 1998 году	году	Абрикосов	обнаружил эффект линейного квантового магнитного сопротивления
607	1107	Цюрихе. Поэтому в 1912 году	году	Эйнштейн	ухватился за возможность вернуться в этот
608	1550		году	Ойген Блейлер	впервые ввел в медицину диагноз шизофрения
609	1047	важности местоположения. В 1776 году	году	Адам Смит	опубликовал свой труд Богатство народов в
610	1597	тяжелыми нейролептиками. В 1986 году	году	Нэнси Андреасен	с помощью структурной магнитно-резонансной томографии доказала
611	1600	Его изобрел в 1878 году	году	Томас Эдисон	.Конструкция первого фонографа была очень простой
612	1792	. Когда в 1955 году	году	Альберт Эйнштейн	умер его тело кремировали а мозг
613	359	занавес . В 2003 году	году	Абрикосов	вместе с нашим соотечественником Виталием Гинзбургом
614	1382	было опубликовано в 1974 году	году	Роджером Купером	Cooper 1974 в котором он показал
615	716	и уже в 1906 году	году	Эйнштейн	получил степень доктора наук Цюрихского университета.
616	1591	шизофрению. Еще в 1948 году	году	Фрида Фромм-Рейхман	произнесла знаменитую фразу Мать провоцирующая шизофрению
617	707	не сдавшимся. В 1931 году	году	Баркрофт	приступил к исследованию влияния низких температур
618	1013	впервые выступил в 1958 году	году	Сергей Иванович Ожегов	. Для кого же в первую
619	551	так. Когда в 1959 году	году	Меллаарт	опубликовал зарисовки сокровищ Дорака в издании
620	1623	лишним лет. В 1961 году	году	Творогова	приняли младшим научным сотрудником в Институт
621	1602	время настоящий фурор.В 1887 году	году	Эмиль Берлинер	изобрел свой фонограф который назвал граммофоном.
622	1756	удалось. Умерший в 1955 году	году	Альберт Эйнштейн	ничего не успел узнать о слабом
623	898	была предложена в 1982 году	году	Лампортом	Пизом и Шостаком . Ее значение
624	1282	окружающую среду В 1864 году	году	Джордж Перкинс Марш	посол Соединенных Штатов во Флоренции опубликовал
625	1519	постоянные магниты. В 1952 году	году	Феликс Блох	совместно с Эдвардом Перселлом за развитие
626	1	проблема была в 1981 году	году	Гердом Биннигом	и Генрихом Рорером сотрудниками швейцарского отделения
627	369	. Однако в 1939 году	году	Владимир Богусевич	и Александр Строков смогли показать что
628	648	мышечной атрофии. В 2016 году	году	Канаверо	заявил что ему и его китайским
629	1059	угаснут совсем. В 1957 году	году	Роберт Солоу	развил теорию Шумпетера использовав формальные инструменты
630	288	его наследию. В 2003 году	году	Куренниеми	получил премию от министерства образования и
631	694	Для этого в 1896 году	году	Стрэттон	изобрел оптический прибор который назвал инвертоскоп.
632	383	Нобелевскую премию. В 1899 году	году	Томсон	показал что если в вакуумную трубку
633	281	немузыкальные проекты В 1976-м году	году	Куренниеми	прекращает разработку музыкальных инструментов и начинает
634	279	утверждение невозможно. В 2005-м году	году	Куренниеми	в партнерстве с британским разработчиком электроники
635	405	жена и в 1948 году	году	Ричардсон	снова женился на специалисте по физике
636	2055	совете Канады В 1986 году	году	Флойд Тул	и Шон Олив опубликовали исследование о
637	1833	того что в 1755 году	году	Ломоносов	просил освободить его от составления проектов
638	381	физического интеллекта В те годы	годы	Томсон	как мы помним активно занимался изучением
639	1808	шишки и выступы на голове.	голове.	Галль	и его ученик Спурцхайм делали предположения
640	628	обидчика и отгрыз ему голову.	голову.	Дэвис	считает что восстановленный Фиванский цикл является
641	1652	преобразования симметрии в окрестности горизонта.	горизонта.	Хокинг	же в своей последней статье говорит
642	1651	динамические степени свободы на горизонте.	горизонте.	Строминджер	объясняет в своих статьях то как
643	917	врачом в городской больнице города	города	Глазго	в тяжелом отделении где находились безнадежные
644	492	Чтобы отвлечься от своего горя	горя	Коммерсон	еще больше погрузился в науку отказываясь
645	517	Пуавра у него в гостях	гостях	Коммерсон	отправился на Мадагаскар вместе с Жанной
646	1853	в течение долгих лет готовят	готовят	Европейское	космическое агентство и Роскосмос . На
647	1788	мире науки статье Иллюзия гравитации	гравитации	Хуан Малдасена	пишет Голографическая теория сопоставляет одни физические
648	1534	на исторических портретах и гравюрах.Диссертация	гравюрах.Диссертация	Миллер	изучает милитаристкое влияние на гражданское мужское
649	1371	явно устаревший закон о гражданстве	гражданстве	Роджерс Брубейкер	объяснил именно приверженностью немецкого общества этническому
650	1381	как экспериментальное ответвление генеративной грамматики	грамматики	Н. Хомского	и стала известна как формальная психолингвистика
651	2059	1877 году а к граммофону	граммофону	Эмиля Берлинера	Emile Berliner изобретенному в 1887 году.
652	2061	здесь . Экземпляры опытных грампластинок	грампластинок	Берлинера	от 1887 и 1888 годов находятся
653	980	с установишимся положением за границей.	границей.	Леон Тахтаджян	декан математического факультета в Нью-Йоркском университете
654	83	фонограф Томаса Эдисона и графофон	графофон	Чичестера Белла	двоюродного брата Александра Грэхема Белла и
655	90	граммофона фонограф ТомасаЭдисона и графофон	графофон	Чичестера Белла	двоюродного брата Александра Грэхема Белла и
